Concentration,Concentration [ug/mL],Time_min,RFU_Interpolated
0.3125 ug/mL,0.3125,12.629999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.66,9210.393116005725
0.3125 ug/mL,0.3125,12.69,9210.393116005725
0.3125 ug/mL,0.3125,12.719999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.75,9210.393116005725
0.3125 ug/mL,0.3125,12.78,9210.393116005725
0.3125 ug/mL,0.3125,12.809999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.84,9210.393116005725
0.3125 ug/mL,0.3125,12.87,9210.393116005725
0.3125 ug/mL,0.3125,12.9,9210.393116005725
0.3125 ug/mL,0.3125,12.93,9210.393116005725
0.3125 ug/mL,0.3125,12.959999999999999,9210.393116005725
0.3125 ug/mL,0.3125,12.99,9210.393116005725
0.3125 ug/mL,0.3125,13.02,9210.393116005725
0.3125 ug/mL,0.3125,13.049999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.08,9210.393116005725
0.3125 ug/mL,0.3125,13.11,9210.393116005725
0.3125 ug/mL,0.3125,13.139999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.17,9210.393116005725
0.3125 ug/mL,0.3125,13.2,9210.393116005725
0.3125 ug/mL,0.3125,13.229999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.26,9210.393116005725
0.3125 ug/mL,0.3125,13.29,9210.393116005725
0.3125 ug/mL,0.3125,13.32,9210.393116005725
0.3125 ug/mL,0.3125,13.35,9210.393116005725
0.3125 ug/mL,0.3125,13.379999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.41,9210.393116005725
0.3125 ug/mL,0.3125,13.44,9210.393116005725
0.3125 ug/mL,0.3125,13.469999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.5,9210.393116005725
0.3125 ug/mL,0.3125,13.53,9210.393116005725
0.3125 ug/mL,0.3125,13.559999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.59,9210.393116005725
0.3125 ug/mL,0.3125,13.62,9210.393116005725
0.3125 ug/mL,0.3125,13.65,9210.393116005725
0.3125 ug/mL,0.3125,13.68,9210.393116005725
0.3125 ug/mL,0.3125,13.709999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.74,9210.393116005725
0.3125 ug/mL,0.3125,13.77,9210.393116005725
0.3125 ug/mL,0.3125,13.799999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.83,9210.393116005725
0.3125 ug/mL,0.3125,13.86,9210.393116005725
0.3125 ug/mL,0.3125,13.889999999999999,9210.393116005725
0.3125 ug/mL,0.3125,13.92,9210.393116005725
0.3125 ug/mL,0.3125,13.95,9210.393116005725
0.3125 ug/mL,0.3125,13.979999999999999,9210.393116005725
0.3125 ug/mL,0.3125,14.01,9210.393116005725
0.3125 ug/mL,0.3125,14.04,9210.393116005725
0.3125 ug/mL,0.3125,14.07,9210.393116005725
0.3125 ug/mL,0.3125,14.1,9210.393116005725
0.3125 ug/mL,0.3125,14.129999999999999,9210.393116005725
0.3125 ug/mL,0.3125,14.16,9210.393116005725
0.3125 ug/mL,0.3125,14.19,9210.393116005725
0.3125 ug/mL,0.3125,14.219999999999999,9210.393116005725
